Product_ID,Sale_Date,Region,Sales_Amount,Quantity_Sold,Product_Category,Unit_Cost,Unit_Price,Customer_Type,Discount,Payment_Method,Sales_Channel,Region_and_Sales_Rep
1052,03-02-2023,North,5053.97,18,Furniture,152.75,267.22,Returning,0.09,Cash,Online,North-Bob
1093,21-04-2023,West,4384.02,17,Furniture,3816.39,4209.44,Returning,0.11,Cash,Retail,West-Bob
1015,21-09-2023,South,4631.23,30,Food,261.56,371.4,Returning,0.2,Bank Transfer,Retail,South-David
1072,24-08-2023,South,2167.94,39,Clothing,4330.03,4467.75,New,0.02,Credit Card,Retail,South-Bob
1061,24-03-2023,East,3750.2,13,Electronics,637.37,692.71,New,0.08,Credit Card,Online,East-Charlie
1021,11-02-2023,West,3761.15,32,Food,900.79,1106.51,New,0.21,Cash,Online,West-Charlie
1083,11-04-2023,West,618.31,29,Furniture,2408.81,2624.09,Returning,0.14,Cash,Online,West-Bob
1087,06-01-2023,South,,46,Furniture,3702.51,3964.65,New,0.12,Bank Transfer,Online,South-Eve
1075,29-06-2023,South,4223.39,30,Furniture,738.06,1095.45,New,0.05,Bank Transfer,Online,South-David
1075,09-10-2023,West,8239.58,18,Clothing,2228.35,2682.34,New,0.13,Bank Transfer,Online,West-Charlie
1088,16-11-2023,North,8518.45,13,Furniture,2440.11,2517.6,New,0.23,Bank Transfer,Retail,North-Eve
1100,14-08-2023,West,2198.74,43,Food,1100.81,1137.44,Returning,0.08,Bank Transfer,Online,West-Bob
1024,11-11-2023,West,6607.8,21,Food,622.01,641.09,Returning,0,Bank Transfer,Retail,West-Eve
1003,31-12-2023,South,4775.59,30,Furniture,4190.28,4270.65,New,0.2,Cash,Online,South-Alice
1022,17-08-2023,South,8813.55,21,Food,2537.2,2869.6,New,0.29,Bank Transfer,Retail,South-Charlie
1053,16-10-2023,North,2235.83,48,Furniture,,487.65,New,0.18,Cash,Retail,North-Bob
1002,30-05-2023,North,6810.35,17,Furniture,4024.76,4420.15,Returning,0.04,Cash,Online,North-David
1088,04-10-2023,East,6116.75,40,Electronics,4904.93,5034.35,New,0.1,Credit Card,Retail,East-Bob
1030,17-07-2023,West,3023.48,19,Clothing,3049.33,3209.22,Returning,0.26,Cash,Online,West-David
1038,11-03-2023,South,1452.35,15,Clothing,2543.36,2790.1,Returning,0.07,Cash,Online,South-Bob
1002,22-04-2023,North,6551.23,9,Electronics,4398.16,4439.12,New,0.18,Bank Transfer,Online,North-Eve
1064,04-01-2023,East,7412.11,10,Electronics,4764.96,5074.42,New,0.12,Cash,Online,East-Eve
1060,16-12-2023,East,3224.71,44,Clothing,3784.96,4276.99,New,0.06,Bank Transfer,Retail,East-Eve
1021,27-11-2023,South,6483.84,31,Furniture,2254.99,2441.79,Returning,0.24,Bank Transfer,Online,South-Alice
1033,14-11-2023,South,4011.8,23,Furniture,2981.5,3360.4,Returning,0.22,Bank Transfer,Retail,South-David
1076,16-12-2023,East,7160.75,30,Clothing,3519.63,3774.65,New,0.2,Credit Card,Retail,East-Eve
1058,05-04-2023,North,2072.23,33,Furniture,1011.65,1084.28,Returning,0.07,Bank Transfer,Retail,North-Alice
1022,01-06-2023,East,8913.13,9,Electronics,2263.65,2558.95,New,0.03,Cash,Online,East-David
1089,07-11-2023,West,2945.36,47,Furniture,4157.62,4314.56,New,0.17,Bank Transfer,Retail,West-Bob
1049,17-05-2023,West,3741.08,1,Furniture,3290.89,3317.75,Returning,0.17,Bank Transfer,Online,West-Alice
1091,04-09-2023,South,675.11,44,Food,2085.46,2406.58,Returning,0.06,Bank Transfer,Retail,South-Charlie
1059,31-08-2023,North,,35,Food,3333.64,3764.52,Returning,0.02,Credit Card,Online,North-Alice
1042,31-01-2023,North,5207.03,11,Food,635.2,814.14,Returning,0.02,Cash,Online,North-Alice
1092,09-02-2023,West,2749.17,34,Furniture,2037.41,2238.65,New,0.3,Credit Card,Online,West-David
1060,17-08-2023,East,8371.25,16,Clothing,,4422.59,New,0.24,Cash,Online,East-Bob
1080,05-02-2023,South,245.46,9,Electronics,1141.52,1550.19,New,0.28,Credit Card,Retail,South-Charlie
1015,11-08-2023,East,3853.03,32,Furniture,970.51,1330.84,Returning,0.06,Cash,Retail,East-Eve
1062,06-01-2023,East,3439.72,15,Clothing,4756.55,4888.46,New,0.29,Credit Card,Online,East-Eve
1062,18-11-2023,East,291.34,12,Furniture,1088.99,1545,Returning,0.04,Bank Transfer,Retail,East-Alice
1047,08-08-2023,North,1331.25,33,Electronics,1341.55,1427.21,Returning,0.15,Credit Card,Online,North-David
1062,16-03-2023,West,4195.06,45,Furniture,4849.6,5166.72,Returning,0.25,Credit Card,Online,West-David
1051,04-01-2023,North,4979.36,14,Electronics,3686.81,3710.92,New,0.1,Bank Transfer,Retail,North-Eve
1055,01-12-2023,West,4102.47,8,Furniture,3513,3838.42,Returning,0.13,Bank Transfer,Online,West-Charlie
1064,14-05-2023,South,5356.28,8,Electronics,4271.99,4417.79,Returning,0.04,Cash,Online,South-Bob
1003,28-04-2023,South,5991.8,27,Furniture,623.32,853.66,Returning,0.04,Cash,Online,South-Charlie
1051,04-04-2023,East,198.25,12,Electronics,3544.48,3723.66,Returning,0.19,Cash,Online,East-Bob
1007,03-03-2023,West,4694.54,1,Food,2543.26,2637.91,Returning,0.2,Credit Card,Online,West-Eve
1021,13-07-2023,West,9638.64,43,Furniture,4154.3,4469.07,Returning,0.23,Cash,Retail,West-Bob
1073,01-12-2023,West,5238.42,40,Furniture,2565.3,3007.47,Returning,0.17,Credit Card,Retail,West-David
1039,22-07-2023,East,6807.67,42,Clothing,3120.19,3600.14,Returning,0.19,Credit Card,Retail,East-Alice
1018,26-01-2023,East,3187.45,11,Clothing,2414.82,2519.07,Returning,0,Cash,Online,East-Alice
